clean_text,metadata,category
"A Hidden Gem for Fusion Pasta Lovers! 49 Seats never disappoints! I came for the famous Tom Yum Seafood Pasta and it absolutely lived up to the hype — rich, creamy, spicy, and packed with fresh seafood. The Smoked Duck Pasta was another highlight — tender, flavorful, and surprisingly well-balanced.  Service was friendly and attentive, and I liked the chill industrial-style decor — cozy enough for a casual date or gathering with friends. Prices are reasonable given the portion sizes and central location.  Would highly recommend if you’re looking for something different from your usual Western or Asian fare. Will definitely be back to try the salted egg pasta next!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Leslie Ng""}",Val
"food is good!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Adhishni""}",Val
"Good food and nice staff I recommend this restaurant.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""shahinreza shuvo""}",Val
"Perfect for a day out with your kids. I would strongly recommend their Sambal Goreng Pasta, Sweet Potato Fries and Honey Earl Grey Hazelnut Layer cake!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Kaviraj Anbalagan""}",Val
"Delicious food","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Lucy Sai""}",Val
"Wide range of food options. Service provided by Staff members was good. Particularly enjoyed the waffles with chicken. Would recommend!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Duddux""}",Val
"Food is great. Ambiance is cozy Service is awesome! Keep up the good work.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Fatima hussin""}",Val
"All Good! purple_heart","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Krisselda Laxamana""}",Val
"The ambience was excellent, and the staff were very friendly—especially Syahir, who took great care of all of us.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Yvonne Lim Kar Yan""}",Val
"Staff name syahir service fantastic","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Robin Lee""}",Val
"Syahir is very friendly and helpful.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Lee WoonYew""}",Val
"Very good service Sha!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Jolene oh""}",Val
"Beautiful food and nice atmosphere. Food is also halal!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Dalila MinJi""}",Val
"Nice ambiance, beautiful decoration. Friendly staff. Food is good!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Sya Azril""}",Val
"Food very delicious. Environment very chillex","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Sharifah Sumayyah""}",Val
"Air con a bit warm. But the rest is all good.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Shafawati W.""}",Val
"First time here - love the service and sambal goreng pasta - super spicy!!! Belti is also very friendly and cute!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Irene Evette Chua""}",Val
"My go-to birthday spot!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""nsbaz _""}",Val
"Great service provided, staff was very amicable.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Kai Jie Wan""}",Val
"Our first time dining in and we are very pleased with the service and the quality of food. Our server is very friendly and attentive. Felt like having a meal at home as a family. Food and desert are tasty too. Great service with a smile!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Syasya Sazali""}",Val
"Service and environment is good","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""ling hor""}",Val
"Great food and service and friendly staffs. High recommended.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Jhona Sonson""}",Val
"Good customer  service","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""danish afiq""}",Val
"nice icecreamsmiling_face","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""AI WEN TAN""}",Val
"everything’s aite but cherry on top was Belti’s servicehundred_points courteous, cheery and accommodatingsmiling_face_with_hearts husband and i were well taken care of.","{""rating"":4,""store_name"":""Good Bites"",""reviewer_name"":""Rosnie Nasuha""}",Val
"Hi Team, this is was my 3rd time here overall…and my first time for my mom. Overall, the food was great!!! However, I noticed the SnowCrabs had a very salty taste and not as fresh as my first two times… Prawns were great as usual… out of curiosity, why were the crabs salty last night?","{""rating"":4,""store_name"":""Colony"",""reviewer_name"":""inflextion leslie""}",Val
"Best Crab in town, visit www.dancingcrab.com now","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""running man""}",Ad
"Rethish, Arvin, Tin & Ning Ning has been really fabulous and super awesome in service. They completed the meal experience and I totally appreciate the attention and the constant pampering. Kudos to Colony and the standard that you uphold both in terms of service. Cocktails can be expanded in terms of variety and options. thumbs_up","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Davin Tan""}",Val
"What's to say, but the utopian buffet experience can only be had at the Ritz Carlton Sunday champagne brunch.  From fresh seafood to curated cocktails, you'll be sure to get a bang for your buck if you visit on Sunday for their brunch. Most buffets claim spreads, but the Colony Sunday brunch promises quality of the spread.  Only here can you get bespoke service, where they encourage and entice you to try their 3 cocktails, 2 champagnes, red and white wines, and at least 4 fruit drinks, including the different waters from sparkling to distilled. And if you're lucky to get NingNing, you've won the lottery for the day.  She's the Sunshine of the Colony, and brings you warmth and a personal touch that makes you feel like you've got your personalised butler service. Don't worry about changing plates, or getting wet ones, or cutlery to dig out the delicious crab. She'll get them for you, and with a smile.  Thank you, Ning Ning, for a memorable brunch. We come back because of excellent service from people like you.  A shout out to Tin, Rethish, and Angie as well. You're the stars of Colony.","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""dt seluj""}",Val
"Avoid the set menus, go straight to a la carte, get the roast duck and chicken combos","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Amit Vedhara""}",Val
"Loved the food quality and selection here :) especially colony's laksa and bur bur cha cha. Special shoutout to service staff Mr Saidu for attending to us kindly despite how busy he was smiling_face He was very helpful, made our birthday celebration experience extra pleasant sparkles","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Joo Lin""}",Val
"庆祝朋友生日party_popperpartying_facebirthday_cake这里最适合，环境舒服，食物种类很多选择，服务员很友善Nice（需要预定）","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Kerine Chong""}",Val
"Service is excellent. I tried as much variety as I can and all of them are great. Usually buffet have some items that doesn't taste great or taste bad but the food is great throughout. For the quality and service, I feel that this buffet is worth the money and definitely worth a try if you hadn't tried it before.","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""P JS""}",Val
"Airy, upscale hotel eatery with 7 open kitchens, plus a la carte meals & a generous global buffet. The Colony buffet at the Ritz-Carlton is generally considered a top-tier buffet experience in Singapore, known for its diverse and high-quality food, elegant ambiance, and attentive service. We were invited for dinner by a friend of ours. Loved the ambience  service and food. Two guys at the Pasta section ,took good care of my dietary requirements when I told them make Ravioli for me. They were careful about not adding onions and garlic etc I liked it. The guys at the Pizza section didn't want to make any pizza when I requested for a vegetarian one,not sure what's the point of having a live station catering to diner's needs. They just pointed at a few slices on display which didn't look appetising, so I moved to Pasta section. Desserts and fruits were fresh. At the other sections, food was being replenished in time. Indian food section was untouched,looked full except diner going for mutton and tandoori chicken. Couldn't take photo of the food,will capture it next time. As a vegetarian who doesn't take onion and garlic,there were some options for me like salads, breads, pasta etc. Couldn't find any vegetarian soup as both the soups which were available had meat in it. Loved the architecture. It is wheelchair accessible. Buffet Dinner at Colony (Sundays to Thursdays) Available from Sunday to Thursday from 6 p.m. to 10.30 p.m.The dress code is Smart Casual. Slippers and activewear are not permitted. Covered shoes are required for gentlemen. Thank you for the top tier dining experience.","{""rating"":4,""store_name"":""Colony"",""reviewer_name"":""Ms. Suchi Singapore""}",Val
"很豐富的自助餐，價格也很合理， 燒羊架、生蠔都是最是愛。  在訂位的時候告知是慶祝兒子生日， 餐廳還很溫馨的送上一個迷你蛋糕 ，有驚喜grinning_face_with_smiling_eyes","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""M C""}",Val
"Just had the most horrible experience at Colony - Ritz Carlton. I had called the hotel asking for availability for breakfast to take my family there for a celebration. On arrival, the staff rudely just refused a table. The restaurant had many tables available. She just told us that it will get busy later.  No apologies. No one came to help or explain.","{""rating"":1,""store_name"":""Colony"",""reviewer_name"":""Mahesh Pratapneni""}",Val
"I have to go again to eat tiramishu","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Js P""}",Val
"It's delicious no matter what you eat, but it's priced","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""石井洋彦""}",Val
"Really dislike how the space is extremely crowded, with tables placed very close to each other. Definitely the worst environment among all the fancy buffets in Singapore. The food is fine, and the desserts are especially good, but I would not return because of the overall setting.","{""rating"":4,""store_name"":""Colony"",""reviewer_name"":""Cindy Jiang""}",Val
"Tasty food especially the Singapore Heritage Corner featuring duck, chicken, roast pork and char siu (must try!), loved the rojak too for the thick rojak paste used, enjoyed butter chicken, Salmon, Carbonara pasta, Iberico Pork was tender and flavourful, great drink options especially the fruit juices and enjoyed the desserts like Oreo vanilla ice cream and caramel ice cream and gula Melaka cake bar. Special mention must go to the ever-present service staff who were always around clearing plates promptly and refilling of water, excellent service indeed! The Colony delivers an excellent dining experience!!","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Chris Zee""}",Val
"The space especially the sushi section , the walkway so narrow and the snow crab and seafood section also kinda narrow. I have eaten many buffet oversea n locally. This the only one I found they dun even wash or clean the oyster shell.  Most of the oysters I took the shell all have sands like never wash beside they peel open. Not a good experience on a 5stars hotel can improve on it and most oysters in hotel I eaten they have prepare and it's nicely off the meat from the shell.   And during the buffet I have diarrhea need to rush for wash room . 1st time I having diarrhea dying a buffet section same with my friend who I treated him for his birthday dinner.  The jackfruit on fruits section is a plus point. Mention: the fried hokkien mee is surprisingly delicious with wok hei.","{""rating"":2,""store_name"":""Colony"",""reviewer_name"":""Casey Khoo""}",Val
"Food was delicious, staff were super friendly and the ambience and vibes were top tier! would def recommend for dates","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""marsha syarah""}",Val
"Food was simply amazing and filling, location is so vibes and service is tip top! Perfect for a date :)","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""My Sembawang""}",Val
"Very friendly and helpful staff. I ordered fries, it was good!!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""elsy Lee""}",Val
"Good food and vibes! Would come again :-)","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Jannah Zainal""}",Val
"Nice food, big portion","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Choon May Goh""}",Val
"Amazing service and the food was great","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Aidan Chong""}",Val
"The food options are great, especially the burgers, and they taste awesome. I totally recommend it, and I'm definitely going back.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Jui Chen Chien""}",Val
"good food in neighbourhood","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Hadi Muchtar""}",Val
"Good Vibes Café really lives up to its name. Cozy vibes, super friendly staff, and the waffles + lava cake are a must-try! Perfect supper spot in bishan.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Mohammad Hidayat""}",Val
"Great experience. Friendly staff.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Julie Norelmi""}",Val
"good vibes, friendly staff, picture worthy!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Alicia Ernest""}",Val
"staff is very friendly!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Syukrina Salleh""}",Val
"the food here is delicious and verry filling , staff are very friendly and kind , its my 4th or 5th time coming here already and its always an welcoming place .","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""achai""}",Val
"halal certified and food portion is big","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Eunice Qu""}",Val
"The food and environment is very nice and all halal food.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Chong Yu En""}",Val
"Halal and nice food and ice cream","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""mateen_ adam""}",Val
"Great place to hangout with your friends. Halal certified too.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Joshua Ng""}",Val
"Great service and great food","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""ravier sim""}",Val
"Will come back againred_heart","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Duan jiaxu""}",Val
"Good food and good services, definitely will come again thumbs_up","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Junwen Cheang""}",Val
"Huge portions and friendly staff 10 10","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Kenny Kok""}",Val
"second time coming here after 2 years & the food’s quality hasn’t improved much smiling_face_with_tear the food tastes like it’s all been microwaved (doesn’t have the “handmade” feel) & unfortunately i wouldn’t come back here  it’s a bit of a pity as the service staff r q friendly!","{""rating"":2,""store_name"":""Good Bites"",""reviewer_name"":""tricia lee""}",Val
"Amazing food and customer service. Value for money!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Sunita Parveen""}",Val
"good vibes and generous food!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""sha""}",Val
"Came during lunch time, food portion is big, great service too allow early seating","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""hemm""}",Val
"Good food here","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""alexis chan""}",Val
"Food was good and service was warm","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Jiashi Wong""}",Val
"its perfect honestly the atmosphere here is above perfect , definitely will come here again !","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""danny""}",Val
"super lovely staff! ntu nus student got discount right niaow everybody go get the 20% off","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Yap Kah Him""}",Ad
"Order now with Dominos and get FREE dessert with every meal. Fast delivery guaranteed!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""rody ng""}",Ad
"fire food","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""kis""}",Val
"Left happy and full! So cool that the tiramisu is freshly piped. Thank you to Jishnu&Rathiesh (sorry if I spelled their names incorrectly) for the warm hospitality. Came for dinner on 31st July.","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Ruby Chan""}",Val
"Came here for colony. The deco first of all is amazing but the food is even better Hands down the best hotel buffet I’ve tried in sg The range of food is huge , amazing choices and There are so many foods ill recommend Some of the best are squid ink pasta, the beef, the buns , and seafood , desserts Some say laksa was good I found this to be average only but also not too bad At the price point definitely worth Heard that there will be lobsters at dinner session, will come back again for this .","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Kevin KW""}",Val
"I have booked in advance before the trip for a great meal on Singapore's trip, and the food was as satisfied as expected. But when the employee who took my card when I calculated, I didn't come back for a long time, and I didn't try to meet with me even though I passed by many times in front of our table. Eventually I requested another employee and received a card and receipt. Overall satisfactory, but at the end, I was rude and unpleasant.","{""rating"":4,""store_name"":""Colony"",""reviewer_name"":""Haejung Kim""}",Val
"Almost every item is delicious and authentic. Price may be a little high but surprisingly crowded.","{""rating"":4,""store_name"":""Colony"",""reviewer_name"":""CK Tay""}",Val
"Colony always slaps. Variety is really good and I love their focaccia bread. Thank you Jishnu for the great service, he was very helpful","{""rating"":5,""store_name"":""Colony"",""reviewer_name"":""Sherilyn Sim""}",Val
